_date,total_views,unique_views
2022-02-14,2,2
2022-02-15,14,3
2022-02-17,1,1
2022-02-18,5,4
2022-02-20,3,1
2022-02-21,2,1
2022-02-22,24,1
2022-02-23,28,1
2022-02-24,8,1
2022-02-25,11,4
2022-02-26,137,5
2022-02-27,5,2
2022-02-28,9,4
2022-03-06,1,1
2022-03-07,24,2
2022-03-08,15,1
2022-03-10,1,1
2022-03-11,20,3
2022-03-12,11,1
2022-03-13,5,3
2022-03-14,38,5
2022-03-15,11,2
2022-03-17,22,1
2022-03-18,2,2
2022-03-20,26,3
2022-03-21,31,3
2022-03-22,2,1
2022-03-23,8,3
2022-03-24,1,1
2022-03-25,30,1
2022-03-28,3,3
2022-03-29,18,3
2022-04-03,1,1
2022-04-04,1,1
2022-04-05,5,5
2022-04-06,2,1
2022-04-07,1,1
2022-04-09,1,1
2022-04-10,1,1
2022-04-11,2,2
2022-04-12,1,1
2022-04-13,2,2
2022-04-14,2,1
2022-04-15,1,1
2022-04-16,2,1
2022-04-17,2,1
2022-04-18,1,1
2022-04-20,35,4
2022-04-23,2,2
2022-04-24,4,3
2022-04-26,15,1
2022-04-27,10,4
2022-04-28,1,1
2022-04-29,1,1
2022-04-30,6,1
2022-05-01,8,1
2022-05-02,25,3
2022-05-03,10,3
2022-05-04,10,2
2022-05-05,2,2
2022-05-06,2,2
2022-05-09,1,1
2022-05-11,16,2
2022-05-12,3,3
2022-05-13,18,4
2022-05-16,2,2
2022-05-18,2,1
2022-05-20,1,1
2022-05-21,2,1
2022-05-22,2,2
2022-05-23,1,1
2022-05-25,27,3
2022-05-26,12,2
2022-05-28,1,1
2022-05-31,17,2
2022-06-02,3,3
2022-06-03,4,1
